"Balanced_15":[(0.729467, 550214000.000000), (0.744951, 469499600.000000), (0.829954, 538283200.000000), (0.605156, 467570400.000000), (0.697349, 543597600.000000), (0.000000, 468459200.000000), (0.754067, 548550800.000000), (0.539010, 469197200.000000), (0.666569, 551927600.000000), (0.507495, 471592000.000000)],
"Balanced_16":[(0.000000, 593012000.000000), (0.665192, 493775600.000000), (0.800383, 562366000.000000), (0.623092, 492645600.000000), (0.792115, 562142000.000000), (0.664239, 491988000.000000), (0.807632, 565700800.000000), (0.641448, 492356800.000000), (0.831442, 569237200.000000), (0.680069, 493164800.000000)],
"Balanced_17":[(1.134272, 641802000.000000), (0.846460, 513664400.000000), (1.009663, 597374400.000000), (1.009840, 518776400.000000), (1.008295, 590466800.000000), (0.830746, 519147200.000000), (1.062557, 589906800.000000), (0.861203, 519721200.000000), (1.019258, 590413600.000000), (0.858800, 518308800.000000)],
"Balanced_18":[(1.121666, 695203600.000000), (0.957299, 535312400.000000), (1.199836, 641908400.000000), (0.994925, 541676400.000000), (1.238375, 629840400.000000), (1.042141, 545185600.000000), (1.240500, 622826400.000000), (1.087942, 546842800.000000), (1.287448, 618744000.000000), (1.617435, 546840000.000000)],
"Balanced_19":[(1.495199, 748090000.000000), (1.215819, 556111600.000000), (1.465087, 694153600.000000), (1.173857, 563387600.000000), (1.429044, 676474400.000000), (1.243571, 566210800.000000), (1.449601, 665655200.000000), (1.274418, 568933600.000000), (1.577655, 659092000.000000), (0.000000, 571207600.000000)],
"Balanced_20":[(1.524255, 803574800.000000), (1.448725, 580255600.000000), (1.602622, 747056800.000000), (1.394755, 583738800.000000), (1.641181, 728106400.000000), (1.456887, 588279600.000000), (1.662630, 715128400.000000), (1.465763, 589361200.000000), (1.671121, 706297200.000000), (1.503156, 592277600.000000)],
"Balanced_21":[(0.352884, 858452000.000000), (1.527327, 604227200.000000), (1.868095, 802701200.000000), (1.610541, 607301200.000000), (1.917363, 781620000.000000), (1.709524, 610191600.000000), (2.045708, 768546800.000000), (1.762280, 612504000.000000), (2.167853, 758223200.000000), (1.815417, 614303600.000000)],
"Balanced_22":[(2.132049, 913670800.000000), (1.982572, 630821200.000000), (2.218199, 858592000.000000), (2.035037, 632336800.000000), (2.447132, 837636800.000000), (2.259350, 634834800.000000), (2.410615, 823911200.000000), (2.404004, 635951600.000000), (1.173876, 813220800.000000), (2.262788, 636133200.000000)],
"Balanced_23":[(2.562340, 969477600.000000), (2.224241, 657701600.000000), (2.554834, 914317600.000000), (2.229092, 658620400.000000), (2.890372, 892063200.000000), (2.398955, 658680400.000000), (2.924521, 879334400.000000), (2.386674, 660120800.000000), (2.917680, 869187200.000000), (2.546300, 661213600.000000)],
"Balanced_24":[(2.876130, 1024660000.000000), (2.418492, 685348400.000000), (2.747466, 970222400.000000), (2.361679, 685464000.000000), (2.758878, 949684400.000000), (2.525494, 685925200.000000), (3.049024, 934544800.000000), (2.447256, 686395600.000000), (3.151457, 925293600.000000), (2.659820, 686677200.000000)],
"Balanced_25":[(2.889967, 1081662400.000000), (2.654135, 712186800.000000), (2.951724, 1025469200.000000), (2.968343, 713056000.000000), (3.287427, 1004110800.000000), (3.318060, 713499600.000000), (3.603290, 989464000.000000), (3.182488, 713117600.000000), (3.276876, 980761600.000000), (1.092447, 713611600.000000)],
