"i_worst_15":[(0.000000357, 0.0), (0.000000244, 0.0), (0.000000256, 0.0), (0.000000251, 0.0), (0.000000244, 0.0)],
"i_worst_16":[(0.000000327, 0.0), (0.000000244, 0.0), (0.000000285, 0.0), (0.000000261, 0.0), (0.000000242, 0.0)],
"i_worst_17":[(0.000000380, 0.0), (0.000000260, 0.0), (0.000000252, 0.0), (0.000000269, 0.0), (0.000000255, 0.0)],
"i_worst_18":[(0.000000366, 0.0), (0.000000256, 0.0), (0.000000327, 0.0), (0.000000293, 0.0), (0.000000277, 0.0)],
"i_worst_19":[(0.000000409, 0.0), (0.000000360, 0.0), (0.000000268, 0.0), (0.000000267, 0.0), (0.000000261, 0.0)],
"i_worst_20":[(0.000000336, 0.0), (0.000000290, 0.0), (0.000000295, 0.0), (0.000000302, 0.0), (0.000000385, 0.0)],
"i_worst_21":[(0.000000356, 0.0), (0.000000371, 0.0), (0.000000357, 0.0), (0.000000301, 0.0), (0.000000306, 0.0)],
"i_worst_22":[(0.000000330, 0.0), (0.000000317, 0.0), (0.000000299, 0.0), (0.000000319, 0.0), (0.000000341, 0.0)],
"i_worst_23":[(0.000000387, 0.0), (0.000000319, 0.0), (0.000000315, 0.0), (0.000000320, 0.0), (0.000000311, 0.0)],
"i_worst_24":[(0.000000337, 0.0), (0.000000321, 0.0), (0.000000319, 0.0), (0.000000323, 0.0), (0.000000330, 0.0)],
"i_worst_25":[(0.000000347, 0.0), (0.000000361, 0.0), (0.000000323, 0.0), (0.000000323, 0.0), (0.000000335, 0.0)],
"i_worst_26":[(0.000000413, 0.0), (0.000000330, 0.0), (0.000000325, 0.0), (0.000000340, 0.0), (0.000000352, 0.0)],
"i_worst_27":[(0.000000529, 0.0), (0.000000361, 0.0), (0.000000364, 0.0), (0.000000357, 0.0), (0.000000423, 0.0)],
"i_worst_28":[(0.000000420, 0.0), (0.000000366, 0.0), (0.000000368, 0.0), (0.000000350, 0.0), (0.000000353, 0.0)],
