"i_worst_15":[(0.000000336, 0.0), (0.000000264, 0.0), (0.000000255, 0.0), (0.000000254, 0.0), (0.000000261, 0.0)],
"i_worst_16":[(0.000000284, 0.0), (0.000000275, 0.0), (0.000000267, 0.0), (0.000000269, 0.0), (0.000000268, 0.0)],
"i_worst_17":[(0.000000409, 0.0), (0.000000284, 0.0), (0.000000293, 0.0), (0.000000284, 0.0), (0.000000287, 0.0)],
"i_worst_18":[(0.000000319, 0.0), (0.000000305, 0.0), (0.000000308, 0.0), (0.000000306, 0.0), (0.000000305, 0.0)],
"i_worst_19":[(0.000000341, 0.0), (0.000000325, 0.0), (0.000000323, 0.0), (0.000000326, 0.0), (0.000000323, 0.0)],
"i_worst_20":[(0.000000396, 0.0), (0.000000351, 0.0), (0.000000340, 0.0), (0.000000344, 0.0), (0.000000345, 0.0)],
"i_worst_21":[(0.000000390, 0.0), (0.000000362, 0.0), (0.000000359, 0.0), (0.000000369, 0.0), (0.000000364, 0.0)],
"i_worst_22":[(0.000000415, 0.0), (0.000000382, 0.0), (0.000000384, 0.0), (0.000000389, 0.0), (0.000000404, 0.0)],
"i_worst_23":[(0.000000427, 0.0), (0.000000413, 0.0), (0.000000394, 0.0), (0.000000529, 0.0), (0.000000387, 0.0)],
"i_worst_24":[(0.000000436, 0.0), (0.000000413, 0.0), (0.000000413, 0.0), (0.000000420, 0.0), (0.000000423, 0.0)],
"i_worst_25":[(0.000000446, 0.0), (0.000000446, 0.0), (0.000000445, 0.0), (0.000000458, 0.0), (0.000000453, 0.0)],
"i_worst_26":[(0.000000466, 0.0), (0.000000447, 0.0), (0.000000437, 0.0), (0.000000438, 0.0), (0.000000451, 0.0)],
"i_worst_27":[(0.000000506, 0.0), (0.000000478, 0.0), (0.000000454, 0.0), (0.000000458, 0.0), (0.000000466, 0.0)],
"i_worst_28":[(0.000000513, 0.0), (0.000000474, 0.0), (0.000000476, 0.0), (0.000000466, 0.0), (0.000000473, 0.0)],
"i_worst_29":[(0.000000534, 0.0), (0.000000504, 0.0), (0.000000500, 0.0), (0.000000612, 0.0), (0.000000485, 0.0)],
"i_worst_30":[(0.000000550, 0.0), (0.000000505, 0.0), (0.000000521, 0.0), (0.000000499, 0.0), (0.000000525, 0.0)],
"i_worst_31":[(0.000000625, 0.0), (0.000000517, 0.0), (0.000000528, 0.0), (0.000000529, 0.0), (0.000000546, 0.0)],
"i_worst_32":[(0.000000580, 0.0), (0.000000540, 0.0), (0.000000573, 0.0), (0.000000525, 0.0), (0.000000583, 0.0)],
"i_worst_33":[(0.000000600, 0.0), (0.000000567, 0.0), (0.000000600, 0.0), (0.000000552, 0.0), (0.000000563, 0.0)],
"i_worst_34":[(0.000000611, 0.0), (0.000000566, 0.0), (0.000000598, 0.0), (0.000000568, 0.0), (0.000000584, 0.0)],
"i_opt_15":[(0.000000339, 0.0), (0.000000330, 0.0), (0.000000301, 0.0), (0.000000304, 0.0), (0.000000306, 0.0)],
"i_opt_16":[(0.000000374, 0.0), (0.000000329, 0.0), (0.000000320, 0.0), (0.000000328, 0.0), (0.000000339, 0.0)],
"i_opt_17":[(0.000000410, 0.0), (0.000000333, 0.0), (0.000000326, 0.0), (0.000000331, 0.0), (0.000000337, 0.0)],
