"Unbalanced_21":[(0.562280, 541508800.000000), (0.479746, 484220400.000000), (0.580169, 553924000.000000), (0.495434, 476520000.000000), (0.629750, 555055200.000000), (0.463950, 475435600.000000), (0.639822, 558633600.000000), (0.512227, 477242000.000000), (0.647672, 561520400.000000), (0.542145, 478893200.000000)],
"Unbalanced_22":[(0.700616, 556833200.000000), (0.536923, 511768000.000000), (0.730015, 571860800.000000), (0.000000, 495216800.000000), (0.686720, 572434800.000000), (0.611939, 494288400.000000), (0.764568, 573484800.000000), (0.586687, 493030400.000000), (0.723535, 574753200.000000), (0.657714, 494622400.000000)],
"Unbalanced_23":[(0.803809, 573414800.000000), (0.647020, 547498000.000000), (0.872905, 589892800.000000), (0.742101, 517231200.000000), (0.829780, 591819200.000000), (0.714588, 513544000.000000), (0.917639, 589864800.000000), (0.737067, 511590800.000000), (0.837399, 590312800.000000), (0.000000, 511176400.000000)],
"Unbalanced_24":[(0.943182, 591600800.000000), (0.830920, 587933200.000000), (0.913326, 608451200.000000), (0.862516, 543985600.000000), (1.044729, 610713600.000000), (0.829811, 536304000.000000), (0.934081, 609288400.000000), (0.819990, 532076000.000000), (1.033583, 607300400.000000), (0.881832, 529410400.000000)],
"Unbalanced_25":[(0.985675, 609596400.000000), (0.997556, 632271200.000000), (1.164385, 626956400.000000), (1.033729, 575142400.000000), (1.180307, 628779200.000000), (0.991151, 563276800.000000), (1.128988, 628412400.000000), (0.976465, 556629600.000000), (1.181838, 628633600.000000), (1.048652, 554768000.000000)],
"Unbalanced_26":[(1.229670, 629969200.000000), (1.163211, 679496000.000000), (1.196671, 643944000.000000), (1.077589, 613346000.000000), (1.334119, 646730000.000000), (1.229057, 595517200.000000), (1.350631, 647474800.000000), (1.197198, 584594400.000000), (1.376757, 648314800.000000), (1.203805, 578316400.000000)],
"Unbalanced_27":[(1.274428, 649493600.000000), (1.238299, 729837200.000000), (1.342094, 659190000.000000), (1.338635, 655687200.000000), (1.465282, 663465600.000000), (1.326831, 631514400.000000), (1.531892, 666296400.000000), (1.710449, 620292400.000000), (1.582982, 668152800.000000), (1.391875, 611627200.000000)],
"Unbalanced_28":[(1.514668, 668858400.000000), (1.545937, 776716800.000000), (1.587336, 677689600.000000), (1.531389, 702569600.000000), (1.601102, 681251200.000000), (1.528766, 675845200.000000), (1.696613, 684468400.000000), (1.601987, 659475600.000000), (1.723421, 685487600.000000), (1.605346, 648233200.000000)],
"Unbalanced_29":[(1.690061, 690088000.000000), (0.051136, 828835600.000000), (1.768076, 695338000.000000), (1.720331, 749173600.000000), (1.861074, 698597200.000000), (1.724397, 720840400.000000), (1.915667, 700378000.000000), (1.765750, 703413200.000000), (1.801248, 701937600.000000), (1.741753, 691164400.000000)],
"Unbalanced_30":[(1.824558, 709016000.000000), (1.776056, 879393600.000000), (1.724364, 713804000.000000), (1.841133, 798129600.000000), (1.991053, 716270800.000000), (1.994860, 768425200.000000), (2.085811, 718911200.000000), (1.910089, 750174800.000000), (2.029100, 719112800.000000), (1.993809, 734770000.000000)],
"Unbalanced_31":[(2.176981, 728658000.000000), (2.274792, 928272400.000000), (2.067560, 732040400.000000), (2.224774, 846138800.000000), (2.435089, 735187600.000000), (2.392559, 817911200.000000), (2.371257, 736789200.000000), (2.549966, 798259200.000000), (2.599234, 736775200.000000), (2.502739, 782868000.000000)],
"Unbalanced_32":[(0.842380, 749212800.000000), (2.400202, 978250000.000000), (2.577375, 751808400.000000), (2.354511, 896267600.000000), (2.502696, 752920000.000000), (2.357847, 865486800.000000), (2.700535, 754496400.000000), (2.418749, 844678800.000000), (2.524271, 755678000.000000), (2.493243, 831647200.000000)],
"Unbalanced_33":[(2.736410, 770352800.000000), (2.689032, 1026513600.000000), (2.539116, 772200800.000000), (2.894995, 945076000.000000), (2.585784, 772629200.000000), (3.048777, 913770800.000000), (3.208249, 773945200.000000), (1.295622, 894418000.000000), (2.992652, 774709600.000000), (3.059795, 877972400.000000)],
"Unbalanced_34":[(3.347828, 789219200.000000), (3.780083, 1075607600.000000), (3.967968, 791137200.000000), (4.105070, 995068400.000000), (3.643034, 790944000.000000), (4.469050, 962568400.000000), (3.697417, 792008000.000000), (3.668414, 943654800.000000), (3.706159, 792705200.000000), (4.945330, 928418000.000000)],
"Unbalanced_35":[(4.024373, 811098400.000000), (5.155625, 1123959600.000000), (4.932952, 811868400.000000), (2.253312, 1042543600.000000), (3.429692, 811048000.000000), (4.359241, 1012641600.000000), (4.143831, 811913200.000000), (4.000511, 992330800.000000), (4.396129, 812033600.000000), (4.180707, 976224800.000000)],
