"i_opt_15":[(0.000000342, 0.0), (0.000000230, 0.0), (0.000000237, 0.0), (0.000000231, 0.0), (0.000000227, 0.0)],
"i_opt_16":[(0.000000284, 0.0), (0.000000238, 0.0), (0.000000242, 0.0), (0.000000242, 0.0), (0.000000235, 0.0)],
"i_opt_17":[(0.000000248, 0.0), (0.000000240, 0.0), (0.000000237, 0.0), (0.000000244, 0.0), (0.000000238, 0.0)],
"i_opt_18":[(0.000000264, 0.0), (0.000000248, 0.0), (0.000000250, 0.0), (0.000000247, 0.0), (0.000000327, 0.0)],
"i_opt_19":[(0.000000276, 0.0), (0.000000257, 0.0), (0.000000256, 0.0), (0.000000259, 0.0), (0.000000273, 0.0)],
"i_opt_20":[(0.000000290, 0.0), (0.000000273, 0.0), (0.000000271, 0.0), (0.000000267, 0.0), (0.000000279, 0.0)],
"i_opt_21":[(0.000000314, 0.0), (0.000000266, 0.0), (0.000000268, 0.0), (0.000000291, 0.0), (0.000000269, 0.0)],
"i_opt_22":[(0.000000309, 0.0), (0.000000284, 0.0), (0.000000252, 0.0), (0.000000250, 0.0), (0.000000260, 0.0)],
"i_opt_23":[(0.000000305, 0.0), (0.000000248, 0.0), (0.000000253, 0.0), (0.000000259, 0.0), (0.000000252, 0.0)],
"i_opt_24":[(0.000000307, 0.0), (0.000000282, 0.0), (0.000000277, 0.0), (0.000000281, 0.0), (0.000000279, 0.0)],
"i_opt_25":[(0.000000313, 0.0), (0.000000287, 0.0), (0.000000273, 0.0), (0.000000280, 0.0), (0.000000283, 0.0)],
"i_opt_26":[(0.000000320, 0.0), (0.000000288, 0.0), (0.000000289, 0.0), (0.000000343, 0.0), (0.000000296, 0.0)],
"i_opt_27":[(0.000000327, 0.0), (0.000000290, 0.0), (0.000000286, 0.0), (0.000000287, 0.0), (0.000000301, 0.0)],
"i_opt_28":[(0.000000350, 0.0), (0.000000361, 0.0), (0.000000296, 0.0), (0.000000297, 0.0), (0.000000306, 0.0)],
"i_opt_29":[(0.000000353, 0.0), (0.000000311, 0.0), (0.000000301, 0.0), (0.000000298, 0.0), (0.000000325, 0.0)],
"i_opt_30":[(0.000000443, 0.0), (0.000000303, 0.0), (0.000000300, 0.0), (0.000000387, 0.0), (0.000000448, 0.0)],
"i_opt_31":[(0.000000347, 0.0), (0.000000325, 0.0), (0.000000332, 0.0), (0.000000454, 0.0), (0.000000349, 0.0)],
"i_opt_32":[(0.000000370, 0.0), (0.000000347, 0.0), (0.000000318, 0.0), (0.000000323, 0.0), (0.000000312, 0.0)],
"i_opt_33":[(0.000000401, 0.0), (0.000000327, 0.0), (0.000000314, 0.0), (0.000000340, 0.0), (0.000000326, 0.0)],
"i_opt_34":[(0.000000373, 0.0), (0.000000346, 0.0), (0.000000339, 0.0), (0.000000343, 0.0), (0.000000364, 0.0)],
"i_worst_15":[(0.000000238, 0.0), (0.000000272, 0.0), (0.000000240, 0.0), (0.000000236, 0.0), (0.000000240, 0.0)],
"i_worst_16":[(0.000000243, 0.0), (0.000000241, 0.0), (0.000000249, 0.0), (0.000000248, 0.0), (0.000000249, 0.0)],
"i_worst_17":[(0.000000260, 0.0), (0.000000262, 0.0), (0.000000275, 0.0), (0.000000265, 0.0), (0.000000266, 0.0)],
"i_worst_18":[(0.000000269, 0.0), (0.000000273, 0.0), (0.000000363, 0.0), (0.000000274, 0.0), (0.000000261, 0.0)],
"i_worst_19":[(0.000000280, 0.0), (0.000000271, 0.0), (0.000000278, 0.0), (0.000000285, 0.0), (0.000000297, 0.0)],
"i_worst_20":[(0.000000305, 0.0), (0.000000283, 0.0), (0.000000279, 0.0), (0.000000298, 0.0), (0.000000285, 0.0)],
"i_worst_21":[(0.000000383, 0.0), (0.000000289, 0.0), (0.000000287, 0.0), (0.000000294, 0.0), (0.000000303, 0.0)],
"i_worst_22":[(0.000000318, 0.0), (0.000000289, 0.0), (0.000000293, 0.0), (0.000000293, 0.0), (0.000000297, 0.0)],
"i_worst_23":[(0.000000321, 0.0), (0.000000328, 0.0), (0.000000332, 0.0), (0.000000323, 0.0), (0.000000332, 0.0)],
"i_worst_24":[(0.000000331, 0.0), (0.000000340, 0.0), (0.000000329, 0.0), (0.000000395, 0.0), (0.000000300, 0.0)],
"i_worst_25":[(0.000000316, 0.0), (0.000000311, 0.0), (0.000000329, 0.0), (0.000000331, 0.0), (0.000000337, 0.0)],
"i_worst_26":[(0.000000343, 0.0), (0.000000335, 0.0), (0.000000334, 0.0), (0.000000338, 0.0), (0.000000341, 0.0)],
"i_worst_27":[(0.000000339, 0.0), (0.000000334, 0.0), (0.000000331, 0.0), (0.000000321, 0.0), (0.000000334, 0.0)],
"i_worst_28":[(0.000000313, 0.0), (0.000000329, 0.0), (0.000000321, 0.0), (0.000000308, 0.0), (0.000000313, 0.0)],
"i_worst_29":[(0.000000320, 0.0), (0.000000333, 0.0), (0.000000315, 0.0), (0.000000318, 0.0), (0.000000367, 0.0)],
"i_worst_30":[(0.000000316, 0.0), (0.000000315, 0.0), (0.000000335, 0.0), (0.000000338, 0.0), (0.000000334, 0.0)],
"i_worst_31":[(0.000000358, 0.0), (0.000000342, 0.0), (0.000000429, 0.0), (0.000000328, 0.0), (0.000000335, 0.0)],
"i_worst_32":[(0.000000378, 0.0), (0.000000350, 0.0), (0.000000358, 0.0), (0.000000356, 0.0), (0.000000334, 0.0)],
"i_worst_33":[(0.000000347, 0.0), (0.000000390, 0.0), (0.000000380, 0.0), (0.000000346, 0.0), (0.000000365, 0.0)],
"i_worst_34":[(0.000000373, 0.0), (0.000000379, 0.0), (0.000000361, 0.0), (0.000000344, 0.0), (0.000000346, 0.0)],
"i_amort_10000":[(0.000000326, 0.0), (0.000000327, 0.0), (0.000000328, 0.0), (0.000000329, 0.0), (0.000000334, 0.0)],
"i_amort_20000":[(0.000000429, 0.0), (0.000000338, 0.0), (0.000000345, 0.0), (0.000000351, 0.0), (0.000000367, 0.0)],
"i_amort_30000":[(0.000000366, 0.0), (0.000000338, 0.0), (0.000000359, 0.0), (0.000000367, 0.0), (0.000000368, 0.0)],
"i_amort_40000":[(0.000000376, 0.0), (0.000000367, 0.0), (0.000000370, 0.0), (0.000000396, 0.0), (0.000000441, 0.0)],
"i_amort_50000":[(0.000000370, 0.0), (0.000000384, 0.0), (0.000000404, 0.0), (0.000000416, 0.0), (0.000000406, 0.0)],
