"i_amort_50000":[(0.000000521, 31.249280000), (0.000000417, 31.249280000), (0.000000400, 31.249280000), (0.000000426, 31.249280000), (0.000000479, 31.249280000), (0.000000419, 31.249280000), (0.000000410, 31.249280000), (0.000000412, 31.249280000), (0.000000416, 31.249280000), (0.000000423, 31.249280000)],
"i_amort_100000":[(0.000000591, 31.216960000), (0.000000592, 31.216960000), (0.000000602, 31.216960000), (0.000000577, 31.216960000), (0.000000573, 31.216960000), (0.000000569, 31.216960000), (0.000000669, 31.216960000), (0.000000685, 31.216960000), (0.000000700, 31.216960000), (0.000000622, 31.216960000)],
"i_amort_150000":[(0.000000697, 31.206826667), (0.000000741, 31.206826667), (0.000000759, 31.206826667), (0.000000761, 31.206826667), (0.000000782, 31.206826667), (0.000000759, 31.206826667), (0.000000794, 31.206826667), (0.000000795, 31.206826667), (0.000000769, 31.206826667), (0.000000736, 31.206826667)],
"i_amort_200000":[(0.000000751, 31.226720000), (0.000001111, 31.226720000), (0.000001119, 31.226720000), (0.000001119, 31.226720000), (0.000001062, 31.226720000), (0.000001027, 31.226720000), (0.000000946, 31.226720000), (0.000000963, 31.226720000), (0.000001186, 31.226720000), (0.000001020, 31.226720000)],
"i_amort_250000":[(0.000000983, 31.223808000), (0.000001177, 31.223808000), (0.000001228, 31.223808000), (0.000001104, 31.223808000), (0.000001150, 31.223808000), (0.000001531, 31.223808000), (0.000001272, 31.223808000), (0.000001272, 31.223808000), (0.000001154, 31.223808000), (0.000001092, 31.223808000)],
"i_amort_300000":[(0.000000868, 31.216853333), (0.000001216, 31.216853333), (0.000001201, 31.216853333), (0.000001203, 31.216853333), (0.000001237, 31.216853333), (0.000001204, 31.216853333), (0.000001199, 31.216853333), (0.000001199, 31.216853333), (0.000001199, 31.216853333), (0.000001187, 31.216853333)],
"i_amort_350000":[(0.000000953, 31.215908571), (0.000001307, 31.215908571), (0.000001415, 31.215908571), (0.000001421, 31.215908571), (0.000001540, 31.215908571), (0.000001545, 31.215908571), (0.000001472, 31.215908571), (0.000001309, 31.215908571), (0.000001450, 31.215908571), (0.000001392, 31.215908571)],
"i_amort_400000":[(0.000001106, 31.219760000), (0.000001380, 31.219760000), (0.000001378, 31.219760000), (0.000001353, 31.219760000), (0.000001345, 31.219760000), (0.000001355, 31.219760000), (0.000001366, 31.219760000), (0.000001349, 31.219760000), (0.000001348, 31.219760000), (0.000001353, 31.219760000)],
"i_amort_450000":[(0.000001034, 31.212017778), (0.000001382, 31.212017778), (0.000001420, 31.212017778), (0.000001623, 31.212017778), (0.000001402, 31.212017778), (0.000001399, 31.212017778), (0.000001406, 31.212017778), (0.000001396, 31.212017778), (0.000001474, 31.212017778), (0.000001508, 31.212017778)],
"i_amort_500000":[(0.000001140, 31.214528000), (0.000001455, 31.214528000), (0.000001618, 31.214528000), (0.000001556, 31.214528000), (0.000001545, 31.214528000), (0.000001620, 31.214528000), (0.000001494, 31.214528000), (0.000001480, 31.214528000), (0.000001428, 31.214528000), (0.000001374, 31.214528000)],
"i_amort_550000":[(0.000001028, 31.215360000), (0.000001406, 31.215360000), (0.000001434, 31.215360000), (0.000001473, 31.215360000), (0.000001569, 31.215360000), (0.000001519, 31.215360000), (0.000001500, 31.215360000), (0.000001509, 31.215360000), (0.000001510, 31.215360000), (0.000001505, 31.215360000)],
"i_amort_600000":[(0.000001145, 31.215146667), (0.000001546, 31.215146667), (0.000001574, 31.215146667), (0.000001559, 31.215146667), (0.000001576, 31.215146667), (0.000001665, 31.215146667), (0.000001620, 31.215146667), (0.000001669, 31.215146667), (0.000001632, 31.215146667), (0.000002186, 31.215146667)],
"i_amort_650000":[(0.000001419, 31.202609231), (0.000001722, 31.202609231), (0.000001710, 31.202609231), (0.000002110, 31.202609231), (0.000001761, 31.202609231), (0.000001612, 31.202609231), (0.000001646, 31.202609231), (0.000001730, 31.202609231), (0.000001726, 31.202609231), (0.000001735, 31.202609231)],
"i_amort_700000":[(0.000001289, 31.214902857), (0.000001753, 31.214902857), (0.000001692, 31.214902857), (0.000001718, 31.214902857), (0.000001795, 31.214902857), (0.000001741, 31.214902857), (0.000002006, 31.214902857), (0.000001995, 31.214902857), (0.000001836, 31.214902857), (0.000002381, 31.214902857)],
"i_amort_750000":[(0.000001447, 31.202986667), (0.000001988, 31.202986667), (0.000001969, 31.202986667), (0.000002114, 31.202986667), (0.000001811, 31.202986667), (0.000002261, 31.202986667), (0.000001995, 31.202986667), (0.000001922, 31.202986667), (0.000001971, 31.202986667), (0.000001957, 31.202986667)],
"i_amort_800000":[(0.000001505, 31.230680000), (0.000001855, 31.230680000), (0.000001818, 31.230680000), (0.000001815, 31.230680000), (0.000001915, 31.230680000), (0.000001861, 31.230680000), (0.000001832, 31.230680000), (0.000001808, 31.230680000), (0.000001909, 31.230680000), (0.000002140, 31.230680000)],
"i_amort_850000":[(0.000001520, 31.210014118), (0.000001948, 31.210014118), (0.000001935, 31.210014118), (0.000001910, 31.210014118), (0.000001907, 31.210014118), (0.000001806, 31.210014118), (0.000001693, 31.210014118), (0.000001722, 31.210014118), (0.000001752, 31.210014118), (0.000001724, 31.210014118)],
"i_amort_900000":[(0.000001331, 31.205333333), (0.000001731, 31.205333333), (0.000001723, 31.205333333), (0.000001737, 31.205333333), (0.000001740, 31.205333333), (0.000001782, 31.205333333), (0.000001891, 31.205333333), (0.000001934, 31.205333333), (0.000001953, 31.205333333), (0.000001889, 31.205333333)],
"i_amort_950000":[(0.000001420, 31.215764211), (0.000001858, 31.215764211), (0.000002017, 31.215764211), (0.000001795, 31.215764211), (0.000001807, 31.215764211), (0.000001763, 31.215764211), (0.000001758, 31.215764211), (0.000001754, 31.215764211), (0.000001751, 31.215764211), (0.000001776, 31.215764211)],
"i_amort_1000000":[(0.000001349, 31.209664000), (0.000001815, 31.209664000), (0.000001929, 31.209664000), (0.000001945, 31.209664000), (0.000001992, 31.209664000), (0.000002007, 31.209664000), (0.000001951, 31.209664000), (0.000001892, 31.209664000), (0.000001752, 31.209664000), (0.000001740, 31.209664000)],
"d_amort_50000":[(0.000000497, 0.000000000), (0.000000499, 0.000000000), (0.000000503, 0.000000000), (0.000000496, 0.000000000), (0.000000518, 0.000000000), (0.000000501, 0.000000000), (0.000000463, 0.000000000), (0.000000476, 0.000000000), (0.000000482, 0.000000000), (0.000000526, 0.000000000)],
"d_amort_100000":[(0.000000715, 0.000000000), (0.000000652, 0.000000000), (0.000000671, 0.000000000), (0.000000658, 0.000000000), (0.000000707, 0.000000000), (0.000000667, 0.000000000), (0.000000651, 0.000000000), (0.000000710, 0.000000000), (0.000000715, 0.000000000), (0.000001013, 0.000000000)],
"d_amort_150000":[(0.000001072, 0.000000000), (0.000001136, 0.000000000), (0.000001000, 0.000000000), (0.000000986, 0.000000000), (0.000000909, 0.000000000), (0.000000960, 0.000000000), (0.000000933, 0.000000000), (0.000001061, 0.000000000), (0.000000911, 0.000000000), (0.000000927, 0.000000000)],
"d_amort_200000":[(0.000000988, 0.000000000), (0.000001101, 0.000000000), (0.000001123, 0.000000000), (0.000001142, 0.000000000), (0.000001111, 0.000000000), (0.000001387, 0.000000000), (0.000001173, 0.000000000), (0.000001121, 0.000000000), (0.000001317, 0.000000000), (0.000001380, 0.000000000)],
"d_amort_250000":[(0.000001126, 0.000000000), (0.000001259, 0.000000000), (0.000001290, 0.000000000), (0.000001265, 0.000000000), (0.000001363, 0.000000000), (0.000001290, 0.000000000), (0.000001274, 0.000000000), (0.000001338, 0.000000000), (0.000001405, 0.000000000), (0.000001476, 0.000000000)],
"d_amort_300000":[(0.000001337, 0.000000000), (0.000001551, 0.000000000), (0.000001549, 0.000000000), (0.000001522, 0.000000000), (0.000001579, 0.000000000), (0.000001622, 0.000000000), (0.000001527, 0.000000000), (0.000001498, 0.000000000), (0.000001491, 0.000000000), (0.000001525, 0.000000000)],
"d_amort_350000":[(0.000001180, 0.000000000), (0.000001358, 0.000000000), (0.000001329, 0.000000000), (0.000001351, 0.000000000), (0.000001472, 0.000000000), (0.000001481, 0.000000000), (0.000001636, 0.000000000), (0.000001688, 0.000000000), (0.000001469, 0.000000000), (0.000001473, 0.000000000)],
"d_amort_400000":[(0.000001323, 0.000000000), (0.000001502, 0.000000000), (0.000001551, 0.000000000), (0.000001544, 0.000000000), (0.000001675, 0.000000000), (0.000001656, 0.000000000), (0.000001718, 0.000000000), (0.000001736, 0.000000000), (0.000001662, 0.000000000), (0.000001724, 0.000000000)],
"d_amort_450000":[(0.000001990, 0.000000000), (0.000002272, 0.000000000), (0.000002191, 0.000000000), (0.000002001, 0.000000000), (0.000001919, 0.000000000), (0.000001951, 0.000000000), (0.000001981, 0.000000000), (0.000002137, 0.000000000), (0.000002057, 0.000000000), (0.000001807, 0.000000000)],
"d_amort_500000":[(0.000001928, 0.000000000), (0.000002266, 0.000000000), (0.000002027, 0.000000000), (0.000002003, 0.000000000), (0.000001892, 0.000000000), (0.000001792, 0.000000000), (0.000001838, 0.000000000), (0.000001814, 0.000000000), (0.000001649, 0.000000000), (0.000001657, 0.000000000)],
"d_amort_550000":[(0.000001636, 0.000000000), (0.000002211, 0.000000000), (0.000002187, 0.000000000), (0.000002365, 0.000000000), (0.000002098, 0.000000000), (0.000002039, 0.000000000), (0.000001973, 0.000000000), (0.000002070, 0.000000000), (0.000001910, 0.000000000), (0.000001886, 0.000000000)],
"d_amort_600000":[(0.000001714, 0.000000000), (0.000001977, 0.000000000), (0.000001994, 0.000000000), (0.000001914, 0.000000000), (0.000001946, 0.000000000), (0.000001979, 0.000000000), (0.000001903, 0.000000000), (0.000001772, 0.000000000), (0.000001711, 0.000000000), (0.000001712, 0.000000000)],
"d_amort_650000":[(0.000002010, 0.000000000), (0.000002154, 0.000000000), (0.000001869, 0.000000000), (0.000001939, 0.000000000), (0.000001926, 0.000000000), (0.000001930, 0.000000000), (0.000001932, 0.000000000), (0.000001847, 0.000000000), (0.000001912, 0.000000000), (0.000001843, 0.000000000)],
"d_amort_700000":[(0.000001672, 0.000000000), (0.000002359, 0.000000000), (0.000001889, 0.000000000), (0.000001764, 0.000000000), (0.000001777, 0.000000000), (0.000002163, 0.000000000), (0.000002164, 0.000000000), (0.000002064, 0.000000000), (0.000002318, 0.000000000), (0.000002248, 0.000000000)],
"d_amort_750000":[(0.000001875, 0.000000000), (0.000001978, 0.000000000), (0.000001960, 0.000000000), (0.000001953, 0.000000000), (0.000002271, 0.000000000), (0.000001801, 0.000000000), (0.000001935, 0.000000000), (0.000001939, 0.000000000), (0.000001926, 0.000000000), (0.000001804, 0.000000000)],
"d_amort_800000":[(0.000001680, 0.000000000), (0.000001911, 0.000000000), (0.000001944, 0.000000000), (0.000001978, 0.000000000), (0.000002187, 0.000000000), (0.000002138, 0.000000000), (0.000002260, 0.000000000), (0.000002144, 0.000000000), (0.000001896, 0.000000000), (0.000001974, 0.000000000)],
"d_amort_850000":[(0.000001730, 0.000000000), (0.000002007, 0.000000000), (0.000001951, 0.000000000), (0.000001957, 0.000000000), (0.000001997, 0.000000000), (0.000001957, 0.000000000), (0.000001949, 0.000000000), (0.000001939, 0.000000000), (0.000002005, 0.000000000), (0.000002112, 0.000000000)],
"d_amort_900000":[(0.000001763, 0.000000000), (0.000002000, 0.000000000), (0.000002011, 0.000000000), (0.000002037, 0.000000000), (0.000002029, 0.000000000), (0.000002010, 0.000000000), (0.000002003, 0.000000000), (0.000001994, 0.000000000), (0.000002011, 0.000000000), (0.000002015, 0.000000000)],
