"i_worst_15":[(0.000000294, 0.0), (0.000000246, 0.0), (0.000000248, 0.0), (0.000000244, 0.0), (0.000000247, 0.0)],
"i_worst_16":[(0.000000405, 0.0), (0.000000249, 0.0), (0.000000247, 0.0), (0.000000245, 0.0), (0.000000248, 0.0)],
"i_worst_17":[(0.000000274, 0.0), (0.000000280, 0.0), (0.000000261, 0.0), (0.000000261, 0.0), (0.000000272, 0.0)],
"i_worst_18":[(0.000000300, 0.0), (0.000000278, 0.0), (0.000000281, 0.0), (0.000000282, 0.0), (0.000000284, 0.0)],
"i_worst_19":[(0.000000333, 0.0), (0.000000306, 0.0), (0.000000332, 0.0), (0.000000374, 0.0), (0.000000294, 0.0)],
"i_worst_20":[(0.000000358, 0.0), (0.000000296, 0.0), (0.000000300, 0.0), (0.000000307, 0.0), (0.000000315, 0.0)],
"i_worst_21":[(0.000000366, 0.0), (0.000000323, 0.0), (0.000000325, 0.0), (0.000000381, 0.0), (0.000000324, 0.0)],
"i_worst_22":[(0.000000348, 0.0), (0.000000346, 0.0), (0.000000306, 0.0), (0.000000293, 0.0), (0.000000301, 0.0)],
"i_worst_23":[(0.000000353, 0.0), (0.000000313, 0.0), (0.000000372, 0.0), (0.000000303, 0.0), (0.000000305, 0.0)],
"i_worst_24":[(0.000000356, 0.0), (0.000000324, 0.0), (0.000000321, 0.0), (0.000000333, 0.0), (0.000000337, 0.0)],
"i_worst_25":[(0.000000356, 0.0), (0.000000322, 0.0), (0.000000325, 0.0), (0.000000317, 0.0), (0.000000318, 0.0)],
"i_worst_26":[(0.000000363, 0.0), (0.000000337, 0.0), (0.000000361, 0.0), (0.000000332, 0.0), (0.000000342, 0.0)],
"i_worst_27":[(0.000000371, 0.0), (0.000000359, 0.0), (0.000000392, 0.0), (0.000000329, 0.0), (0.000000338, 0.0)],
"i_worst_28":[(0.000000366, 0.0), (0.000000341, 0.0), (0.000000331, 0.0), (0.000000331, 0.0), (0.000000332, 0.0)],
"i_worst_29":[(0.000000395, 0.0), (0.000000350, 0.0), (0.000000344, 0.0), (0.000000354, 0.0), (0.000000362, 0.0)],
"i_worst_30":[(0.000000424, 0.0), (0.000000403, 0.0), (0.000000352, 0.0), (0.000000344, 0.0), (0.000000354, 0.0)],
"i_worst_31":[(0.000000401, 0.0), (0.000000356, 0.0), (0.000000422, 0.0), (0.000000375, 0.0), (0.000000393, 0.0)],
"i_worst_32":[(0.000000431, 0.0), (0.000000376, 0.0), (0.000000377, 0.0), (0.000000445, 0.0), (0.000000409, 0.0)],
"i_worst_33":[(0.000000444, 0.0), (0.000000370, 0.0), (0.000000391, 0.0), (0.000000374, 0.0), (0.000000384, 0.0)],
"i_worst_34":[(0.000000413, 0.0), (0.000000362, 0.0), (0.000000390, 0.0), (0.000000391, 0.0), (0.000000364, 0.0)],
"i_opt_15":[(0.000000358, 0.0), (0.000000246, 0.0), (0.000000241, 0.0), (0.000000242, 0.0), (0.000000251, 0.0)],
"i_opt_16":[(0.000000255, 0.0), (0.000000252, 0.0), (0.000000255, 0.0), (0.000000255, 0.0), (0.000000256, 0.0)],
"i_opt_17":[(0.000000265, 0.0), (0.000000257, 0.0), (0.000000262, 0.0), (0.000000269, 0.0), (0.000000264, 0.0)],
"i_opt_18":[(0.000000285, 0.0), (0.000000275, 0.0), (0.000000272, 0.0), (0.000000277, 0.0), (0.000000280, 0.0)],
"i_opt_19":[(0.000000292, 0.0), (0.000000284, 0.0), (0.000000278, 0.0), (0.000000281, 0.0), (0.000000277, 0.0)],
"i_opt_20":[(0.000000297, 0.0), (0.000000266, 0.0), (0.000000269, 0.0), (0.000000283, 0.0), (0.000000279, 0.0)],
"i_opt_21":[(0.000000280, 0.0), (0.000000287, 0.0), (0.000000284, 0.0), (0.000000290, 0.0), (0.000000291, 0.0)],
"i_opt_22":[(0.000000311, 0.0), (0.000000318, 0.0), (0.000000316, 0.0), (0.000000314, 0.0), (0.000000315, 0.0)],
"i_opt_23":[(0.000000306, 0.0), (0.000000367, 0.0), (0.000000277, 0.0), (0.000000280, 0.0), (0.000000282, 0.0)],
"i_opt_24":[(0.000000290, 0.0), (0.000000296, 0.0), (0.000000300, 0.0), (0.000000303, 0.0), (0.000000307, 0.0)],
"i_opt_25":[(0.000000297, 0.0), (0.000000316, 0.0), (0.000000317, 0.0), (0.000000292, 0.0), (0.000000297, 0.0)],
"i_opt_26":[(0.000000300, 0.0), (0.000000304, 0.0), (0.000000323, 0.0), (0.000000441, 0.0), (0.000000325, 0.0)],
"i_opt_27":[(0.000000336, 0.0), (0.000000308, 0.0), (0.000000339, 0.0), (0.000000338, 0.0), (0.000000318, 0.0)],
"i_opt_28":[(0.000000335, 0.0), (0.000000308, 0.0), (0.000000312, 0.0), (0.000000309, 0.0), (0.000000311, 0.0)],
"i_opt_29":[(0.000000319, 0.0), (0.000000414, 0.0), (0.000000319, 0.0), (0.000000321, 0.0), (0.000000321, 0.0)],
"i_opt_30":[(0.000000352, 0.0), (0.000000320, 0.0), (0.000000328, 0.0), (0.000000335, 0.0), (0.000000320, 0.0)],
"i_opt_31":[(0.000000335, 0.0), (0.000000336, 0.0), (0.000000342, 0.0), (0.000000337, 0.0), (0.000000360, 0.0)],
"i_opt_32":[(0.000000338, 0.0), (0.000000356, 0.0), (0.000000332, 0.0), (0.000000339, 0.0), (0.000000350, 0.0)],
"i_opt_33":[(0.000000330, 0.0), (0.000000346, 0.0), (0.000000325, 0.0), (0.000000329, 0.0), (0.000000342, 0.0)],
"i_opt_34":[(0.000000340, 0.0), (0.000000330, 0.0), (0.000000354, 0.0), (0.000000340, 0.0), (0.000000345, 0.0)],
"i_amort_50000":[(0.000000395, 0.0), (0.000000451, 0.0), (0.000000495, 0.0), (0.000000439, 0.0), (0.000000498, 0.0)],
"i_amort_100000":[(0.000000509, 0.0), (0.000000532, 0.0), (0.000000545, 0.0), (0.000000470, 0.0), (0.000000454, 0.0)],
"i_amort_150000":[(0.000000491, 0.0), (0.000000628, 0.0), (0.000000579, 0.0), (0.000000563, 0.0), (0.000000630, 0.0)],
"i_amort_200000":[(0.000000534, 0.0), (0.000000708, 0.0), (0.000000700, 0.0), (0.000000725, 0.0), (0.000000679, 0.0)],
"i_amort_250000":[(0.000000598, 0.0), (0.000000809, 0.0), (0.000000820, 0.0), (0.000000887, 0.0), (0.000000828, 0.0)],
"i_amort_300000":[(0.000000636, 0.0), (0.000000903, 0.0), (0.000000920, 0.0), (0.000000897, 0.0), (0.000000924, 0.0)],
"i_amort_350000":[(0.000000686, 0.0), (0.000001045, 0.0), (0.000000994, 0.0), (0.000000980, 0.0), (0.000000980, 0.0)],
"i_amort_400000":[(0.000000727, 0.0), (0.000001035, 0.0), (0.000001093, 0.0), (0.000001053, 0.0), (0.000001050, 0.0)],
"i_amort_450000":[(0.000000754, 0.0), (0.000001063, 0.0), (0.000001125, 0.0), (0.000001081, 0.0), (0.000001089, 0.0)],
"i_amort_500000":[(0.000000791, 0.0), (0.000001166, 0.0), (0.000001129, 0.0), (0.000001124, 0.0), (0.000001126, 0.0)],
"d_opt15":[(0.000000038, 0.0), (0.000000040, 0.0), (0.000000038, 0.0), (0.000000043, 0.0), (0.000000039, 0.0)],
"d_opt16":[(0.000000060, 0.0), (0.000000060, 0.0), (0.000000072, 0.0), (0.000000065, 0.0), (0.000000059, 0.0)],
"d_opt17":[(0.000000168, 0.0), (0.000000095, 0.0), (0.000000098, 0.0), (0.000000096, 0.0), (0.000000098, 0.0)],
"d_opt18":[(0.000000160, 0.0), (0.000000157, 0.0), (0.000000163, 0.0), (0.000000158, 0.0), (0.000000159, 0.0)],
"d_opt19":[(0.000000247, 0.0), (0.000000237, 0.0), (0.000000239, 0.0), (0.000000249, 0.0), (0.000000245, 0.0)],
"d_opt20":[(0.000000267, 0.0), (0.000000243, 0.0), (0.000000277, 0.0), (0.000000251, 0.0), (0.000000309, 0.0)],
"d_opt21":[(0.000000256, 0.0), (0.000000254, 0.0), (0.000000263, 0.0), (0.000000274, 0.0), (0.000000270, 0.0)],
"d_opt22":[(0.000000283, 0.0), (0.000000286, 0.0), (0.000000296, 0.0), (0.000000296, 0.0), (0.000000303, 0.0)],
"d_opt23":[(0.000000310, 0.0), (0.000000306, 0.0), (0.000000311, 0.0), (0.000000311, 0.0), (0.000000357, 0.0)],
"d_opt24":[(0.000000324, 0.0), (0.000000288, 0.0), (0.000000296, 0.0), (0.000000294, 0.0), (0.000000301, 0.0)],
"d_opt25":[(0.000000290, 0.0), (0.000000304, 0.0), (0.000000297, 0.0), (0.000000294, 0.0), (0.000000322, 0.0)],
"d_opt26":[(0.000000314, 0.0), (0.000000341, 0.0), (0.000000319, 0.0), (0.000000301, 0.0), (0.000000290, 0.0)],
"d_opt27":[(0.000000479, 0.0), (0.000000296, 0.0), (0.000000325, 0.0), (0.000000310, 0.0), (0.000000318, 0.0)],
"d_opt28":[(0.000000297, 0.0), (0.000000301, 0.0), (0.000000301, 0.0), (0.000000310, 0.0), (0.000000307, 0.0)],
